AAPL
MSFT
AMZN
GOOG
FB
BRK-A
TSLA
V
NVDA
JPM
JNJ
WMT
UNH
MA
BAC
PYPL
HD
PG
DIS
ADBE
CMCSA
XOM
NKE
NFLX
VZ
KO
ORCL
CRM
INTC
LLY
CSCO
PFE
ABT
T
PEP
ABBV
TMO
CVX
DHR
MRK
AVGO
UPS
TMUS
WFC
COST
TXN
MCD
MS
QCOM
PM
HON
UNP
BMY
NEE
C
AMGN
BA
LOW
CHTR
INTU
AXP
BLK
SBUX
SCHW
IBM
RTX
GS
AMT
AMAT
TGT
ZM
CAT
EL
AMD
MMM
GE
ISRG
SQ
NOW
DE
SNAP
CVS
LMT
SPGI
SYK
UBER
ANTM
MRNA
ABNB
ZTS
BKNG
MU
PLD
FIS
LRCX
MDLZ
CCI
MO
GILD
ADP
